Reported Date,Confirmed Negative,Presumptive Negative,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Deaths_New_Methodology,Total Cases,Total patients approved for testing as of Reporting Date,Total tests completed in the last day,Percent positive tests in last day,Under Investigation,Number of patients hospitalized with COVID-19,Number of patients in ICU due to COVID-19,"Number of patients in ICU, testing positive for COVID-19","Number of patients in ICU, testing negative for COVID-19",Number of patients in ICU on a ventilator due to COVID-19,Num. of patients in ICU on a ventilator testing positive,Num. of patients in ICU on a ventilator testing negative,Total Positive LTC Resident Cases,Total Positive LTC HCW Cases,Total LTC Resident Deaths,Total LTC HCW Deaths,Total_Lineage_B.1.1.7_Alpha,Total_Lineage_B.1.351_Beta,Total_Lineage_P.1_Gamma,Total_Lineage_B.1.617.2_Delta,deaths_data_cleaning,newly_reported_deaths
2021-12-11,,,,10009,610592,10070,,630671,20170939,42205,4.6,19569,323,146,127,19,94,83,11,15684,7434,4028,10,,,,,0,5
2021-12-12,,,,10803,611266,10078,,632147,20209416,38477,5.4,23520,222,158,138,20,96,87,9,15685,7434,4029,10,,,,,0,8
2021-12-13,,,,11538,612066,10079,,633683,20247747,38331,5.5,15048,253,161,143,18,90,82,8,15685,7434,4029,10,,,,,0,1
2021-12-14,,,,12032,612996,10084,,635112,20281147,33400,6.6,22855,385,162,143,19,98,91,7,15687,7435,4029,10,,,,,0,5
2021-12-15,,,,12666,614161,10093,,636920,20325873,44726,6,28940,357,154,136,18,102,96,6,15689,7435,4029,10,,,,,0,9
2021-12-16,,,,14065,615174,10102,,639341,20380597,54724,7,28959,328,165,147,18,105,101,4,15692,7437,4029,10,,,,,0,9
2021-12-17,,,,15792,616566,10107,,642465,20432233,51636,8.2,37855,358,157,139,18,98,93,5,15694,7440,4030,10,,,,,0,5
2021-12-18,,,,17882,617773,10111,,645766,20486640,54407,8.9,36494,382,154,138,16,99,95,4,15699,7445,4030,10,,,,,0,4
2021-12-19,,,,20847,618983,10113,,649943,20537791,51151,8.7,40373,283,159,146,13,103,99,4,15706,7448,4030,10,,,,,0,2
2021-12-20,,,,23591,620023,10113,,653727,20581914,44123,9.7,40962,284,164,152,12,109,104,5,15708,7451,4030,10,,,,,0,0
2021-12-21,,,,25702,621355,10123,,657180,20631199,49285,9.9,48096,412,165,153,12,105,101,4,15709,7453,4030,10,,,,,-1,11
2021-12-22,,,,28288,623142,10133,,661563,20686580,55381,10.7,58038,420,168,155,13,108,103,5,15711,7455,4032,10,,,,,1,9
2021-12-23,,,,32412,624801,10140,,667353,20754771,68191,16,63472,440,169,156,13,106,101,5,15720,7459,4032,10,,,,,0,7
2021-12-24,,,,39980,626798,10146,,676924,20827410,72639,18.7,67571,508,164,154,10,102,97,5,15739,7462,4032,10,,,,,0,6
2021-12-25,,,,48517,628670,10149,,687336,20893899,66489,19.2,71576,510,167,158,9,97,93,4,15749,7466,4032,10,,,,,-1,4
2021-12-26,,,,56540,630466,10156,,697162,20950594,56695,21.9,55857,373,168,159,9,96,91,5,15761,7471,4032,10,,,,,0,7
2021-12-27,,,,64054,632365,10161,,706580,20999073,48479,24.5,52937,480,176,164,12,109,101,8,15779,7477,4032,10,,,,,0,5
2021-12-28,,,,70391,634846,10168,,715405,21052384,53311,24.9,63440,491,187,175,12,107,99,8,15808,7487,4032,10,,,,,0,7
2021-12-29,,,,76992,638678,10171,,725841,21111643,59259,26.9,74535,726,190,176,14,104,96,8,15849,7502,4032,10,,,,,0,3
2021-12-30,,,,86754,642715,10179,,739648,21178944,67301,30.5,96455,965,200,186,14,104,94,10,15883,7517,4033,10,,,,,0,8
2021-12-31,,,,98822,647345,10194,,756361,21254037,75093,29.8,106173,1144,205,192,13,104,95,9,15954,7544,4033,10,,,,,0,15
2022-01-01,,,,112486,652114,10206,,774806,21323805,69768,32.4,103770,1314,214,200,14,112,104,8,16051,7569,4033,10,,,,,0,12
2022-01-02,,,,123282,658015,10223,,791520,21385807,62002,34.3,91142,1117,224,212,12,114,107,7,16091,7591,4035,10,,,,,1,16
2022-01-03,,,,130307,664562,10229,,805098,21440153,54346,31.9,85379,1232,248,235,13,125,118,7,16176,7617,4036,10,,,,,0,6
2022-01-04,,,,134130,672081,10239,,816450,21489890,49737,30.9,93449,1290,266,254,12,128,122,6,16285,7657,4038,10,,,,,0,10
2022-01-05,,,,134030,683750,10252,,828032,21549027,59137,28.1,94605,2081,288,276,12,138,131,7,16393,7729,4039,10,,,,,-1,14
2022-01-06,,,,135313,695786,10272,,841371,21608268,59241,29.2,99870,2279,319,307,12,164,158,6,16517,7792,4040,10,,,,,0,20
2022-01-07,,,,135223,707732,10315,,853270,21669405,61137,26.6,100224,2472,338,324,14,177,168,9,16708,7857,4047,10,,,,,1,42
2022-01-08,,,,136548,719739,10345,,866632,21725105,55700,30.6,104277,2594,385,372,13,219,213,6,16972,7938,4053,10,,,,,-1,31
2022-01-09,,,,137822,730403,10366,,878591,21774547,49442,27.7,99422,2419,412,397,15,226,218,8,17176,7993,4057,10,,,,,1,20
2022-01-10,,,,140523,737396,10378,,888297,21815239,40692,26.7,95540,2467,438,423,15,234,225,9,17332,8038,4059,10,,,,,0,12
2022-01-11,,,,138560,747289,10399,,896248,21860690,45451,24.4,94223,3220,477,459,18,250,238,12,17477,8101,4062,10,,,,,0,21
2022-01-12,,,,132188,763398,10445,,906031,21917110,56420,20.3,85684,3448,505,486,19,265,250,15,17712,8235,4077,10,,,,,0,46
2022-01-13,,,,122246,783214,10480,,915940,21975941,58831,21.4,79521,3630,500,481,19,275,261,14,17987,8320,4080,10,,,,,0,35
2022-01-14,,,,111496,804886,10522,,926904,22033972,58031,21.8,72005,3814,527,511,16,288,273,15,18259,8446,4091,10,,,,,1,41
2022-01-15,,,,99315,827756,10565,,937636,22090290,56318,24.8,59809,3957,558,544,14,319,308,11,18536,8535,4101,10,,,,,1,42
2022-01-16,,,,94408,843073,10605,,948086,22142966,52676,22.7,46834,3595,579,563,16,340,327,13,18793,8598,4110,10,,,,,0,40
2022-01-17,,,,94614,851365,10628,,956607,22180025,37059,24.2,38774,3887,578,565,13,343,334,9,18984,8632,4112,10,,,,,1,22
2022-01-18,,,,91473,861554,10666,,963693,22211380,31355,24.5,31645,4183,580,568,12,337,330,7,19174,8668,4115,10,,,,,1,37
2022-01-19,,,,84266,874445,10726,,969437,22245959,34579,22,32581,4132,589,577,12,341,332,9,19427,8776,4122,10,,,,,1,59
2022-01-20,,,,79370,887023,10801,,977194,22288866,42907,15.9,30846,4061,594,577,17,347,336,11,19743,8860,4148,10,,,,,0,75
2022-01-21,,,,74905,898589,10865,,984359,22330404,41538,17.7,22058,4114,590,573,17,366,355,11,20060,8924,4169,10,,,,,2,62
2022-01-22,,,,71387,908533,10912,,990832,22366800,36396,15.9,16149,4026,600,576,24,378,370,8,20270,9008,4174,10,,,,,0,47
2022-01-23,,,,67674,918023,10968,,996665,22399047,32247,18.2,7533,3797,604,579,25,375,366,9,20531,9076,4181,10,,,,,-1,57
2022-01-24,,,,65504,924947,11004,,1001455,22419763,20716,18.4,8288,3861,615,586,29,372,364,8,20708,9102,4183,10,,,,,-1,37
2022-01-25,,,,61566,932245,11068,,1004879,22439844,20081,18.8,16482,4008,626,594,32,380,368,12,20878,9156,4193,10,,,,,0,64
2022-01-26,,,,56929,942158,11160,,1010247,22473531,33687,14.1,20190,4016,608,577,31,367,356,11,21138,9260,4207,10,,,,,3,89
2022-01-27,,,,54074,950795,11230,,1016099,22507091,33560,14.1,17276,3645,599,566,33,366,345,21,21410,9345,4224,10,,,,,0,70
2022-01-28,,,,51437,958701,11298,,1021436,22539763,32672,14.4,10671,3535,607,577,30,387,375,12,21606,9415,4238,10,,,,,1,67
2022-01-29,,,,49551,965386,11354,,1026291,22569004,29241,13.9,10970,3439,597,563,34,386,373,13,21846,9499,4252,10,,,,,-2,58
2022-01-30,,,,46950,971889,11412,,1030251,22592642,23638,13.5,6184,3019,587,555,32,358,346,12,22049,9551,4271,10,,,,,3,55
2022-01-31,,,,44863,976987,11444,,1033294,22607650,15008,14.7,5359,2983,583,555,28,347,342,5,22219,9596,4273,10,,,,,1,31
2022-02-01,,,,42609,981803,11504,,1035916,22624030,16380,16.2,11875,3091,568,540,28,349,340,9,22369,9641,4287,10,,,,,-3,63
2022-02-02,,,,41534,986715,11576,,1039825,22651750,27720,13.4,12665,2939,555,522,33,337,322,15,22543,9710,4298,10,,,,,5,67
2022-02-03,,,,39656,992616,11651,,1043923,22680243,28493,13.2,10166,2797,541,507,34,347,330,17,22829,9789,4316,10,,,,,1,74
2022-02-04,,,,38021,998238,11711,,1047970,22705361,25118,12,7875,2634,517,483,34,312,296,16,23082,9891,4334,10,,,,,2,58
2022-02-05,,,,36524,1002880,11770,,1051174,22727888,22527,12.1,8975,2493,501,471,30,297,281,16,23245,9949,4351,10,,,,,0,59
2022-02-06,,,,34914,1007322,11825,,1054061,22745390,17502,11.8,6236,2230,486,457,29,289,276,13,23402,9992,4363,10,,,,,-1,56
2022-02-07,,,,33435,1010878,11836,,1056149,22758270,12880,14.2,4166,2155,486,460,26,283,268,15,23491,10007,4365,10,,,,,0,11
2022-02-08,,,,32078,1014285,11878,,1058241,22774058,15788,14.2,9141,2254,474,446,28,289,274,15,23567,10038,4371,10,,,,,0,42
2022-02-09,,,,30182,1019277,11944,,1061403,22796964,22906,11.9,9152,2059,449,413,36,275,258,17,23685,10083,4385,10,,,,,1,65
2022-02-10,,,,29196,1023420,11988,,1064604,22819381,22417,11.2,9103,1897,445,406,39,283,263,20,23779,10137,4399,10,,,,,0,44
2022-02-11,,,,28354,1027117,12040,,1067511,22840317,20936,11.7,7594,1829,435,393,42,279,254,25,23871,10194,4414,10,,,,,2,50
2022-02-12,,,,27957,1030423,12075,,1070455,22859302,18985,11.2,6193,1704,414,370,44,267,239,28,23979,10378,4420,10,,,,,0,35
2022-02-13,,,,27032,1033595,12093,,1072720,22873300,13998,11.8,4557,1540,402,358,44,244,221,23,24022,10457,4425,10,,,,,-4,22
2022-02-14,,,,26170,1036214,12101,,1074485,22883262,9962,13,3018,1369,394,353,41,243,219,24,24059,10473,4425,10,,,,,0,8
2022-02-15,,,,25014,1038944,12120,,1076078,22896223,12961,11.9,7446,1550,384,340,44,243,217,26,24122,10513,4425,10,,,,,0,19
2022-02-16,,,,23962,1042481,12167,,1078610,22916062,19839,10.2,7013,1403,364,321,43,232,207,25,24171,10567,4436,10,,,,,1,46
2022-02-17,,,,23048,1045685,12204,,1080937,22934524,18462,11,6016,1342,356,312,44,229,206,23,24174,10648,4446,10,,,,,1,36
2022-02-18,,,,22413,1048624,12237,,1083274,22952282,17758,10.8,6147,1281,352,307,45,221,200,21,24184,10790,4444,10,,,,,3,30
2022-02-19,,,,22024,1051247,12247,,1085518,22966456,14174,11.8,8427,1191,329,283,46,216,191,25,24245,10917,4442,10,,,,,-4,14
2022-02-20,,,,21302,1053918,12264,,1087484,22983208,16752,9.1,2992,1056,324,278,46,208,182,26,24287,10983,4441,10,,,,,-2,19
2022-02-21,,,,20708,1055832,12279,,1088819,22992132,8924,11.7,10384,1064,320,272,48,212,186,26,24340,10993,4445,10,,,,,0,15
2022-02-22,,,,19984,1057829,12288,,1090101,23007497,15365,6.9,4483,1038,319,274,45,202,178,24,24353,11024,4446,10,,,,,0,9
2022-02-23,,,,18690,1060530,12306,,1091526,23023189,15692,10.8,7776,1106,319,268,51,199,170,29,24391,11075,4451,10,,,,,-1,19
2022-02-24,,,,18449,1063134,12347,,1093930,23044638,21449,9.7,6875,1066,302,254,48,192,164,28,24430,11169,4457,10,,,,,0,41
2022-02-25,,,,18410,1065561,12386,,1096357,23066188,21550,9.8,5749,1003,297,244,53,186,157,29,24485,11254,4463,10,,,,,4,35
2022-02-26,,,,18561,1067714,12420,,1098695,23082240,16052,10.7,6030,1024,284,238,46,172,148,24,24522,11329,4472,10,,,,,3,31
2022-02-27,,,,18471,1069795,12430,,1100696,23097674,15434,9.1,3502,842,281,238,43,181,159,22,24584,11362,4476,10,,,,,1,9
2022-02-28,,,,18178,1071400,12433,,1102011,23109790,12116,8.9,2629,849,279,232,47,171,147,24,24598,11370,4476,10,,,,,0,3
2022-03-01,,,,17455,1073281,12451,,1103187,23122877,13087,10.3,5767,914,278,234,44,162,139,23,24616,11405,4477,10,,,,,2,16
2022-03-02,,,,16976,1075692,12478,,1105146,23140971,18094,11.8,6312,847,273,233,40,165,142,23,24667,11442,4483,10,,,,,3,24
2022-03-03,,,,16926,1077985,12497,,1107408,23157577,16606,10.2,6140,834,267,224,43,149,128,21,24723,11450,4485,10,,,,,2,17
2022-03-04,,,,16904,1080064,12525,,1109493,23173502,15925,10.7,5843,821,262,219,43,156,130,26,24775,11491,4491,10,,,,,2,26
2022-03-05,,,,16873,1082001,12549,,1111423,23187766,14264,10.8,5519,795,253,212,41,147,124,23,24839,11502,4495,10,,,,,6,18
2022-03-06,,,,16994,1083646,12570,,1113210,23199885,12119,10.2,3607,684,247,204,43,134,107,27,24897,11513,4497,10,,,,,4,17
2022-03-07,,,,16699,1085011,12574,,1114284,23209332,9447,11.8,3374,693,249,204,45,140,111,29,24909,11518,4497,10,,,,,1,3
2022-03-08,,,,16237,1086664,12591,,1115492,23220460,11128,11.2,8026,779,246,200,46,141,116,25,24924,11517,4495,10,,,,,-3,20
2022-03-09,,,,16206,1088615,12618,,1117439,23238031,17571,10.9,5826,751,241,198,43,132,110,22,24969,11552,4501,10,,,,,7,20
2022-03-10,,,,15950,1090976,12638,,1119564,23252726,14695,11.2,5141,742,244,196,48,130,109,21,25028,11586,4503,10,,,,,6,14
2022-03-11,,,,15968,1093499,,12227,1121694,23267297,14571,11.7,4938,717,238,187,51,134,109,25,25058,11595,4380,10,,,,,,
2022-03-12,,,,16241,1095221,,12247,1123709,23280302,13005,12.1,5479,722,232,179,53,129,107,22,25095,11614,4382,10,,,,,4,16
2022-03-13,,,,16228,1096856,,12256,1125340,23292176,11874,11.7,3107,608,228,177,51,123,98,25,25113,11619,4382,10,,,,,1,8
2022-03-14,,,,16011,1098189,,12256,1126456,23299741,7565,12.1,2475,602,228,177,51,111,89,22,25123,11621,4382,10,,,,,0,0
2022-03-15,,,,15478,1099782,,12272,1127532,23309439,9698,13,6421,688,220,171,49,112,91,21,25153,11625,4386,10,,,,,3,13
2022-03-16,,,,15413,1101842,,12288,1129543,23325141,15702,12,5890,649,204,157,47,103,81,22,25182,11650,4387,10,,,,,1,15
2022-03-17,,,,15397,1104237,,12307,1131941,23339789,14648,12.3,5206,644,199,151,48,97,78,19,25260,11664,4392,10,,,,,6,13
2022-03-18,,,,15994,1106136,,12313,1134443,23353987,14198,12.9,4856,615,193,148,45,97,78,19,25322,11675,4392,10,,,,,-2,8
2022-03-19,,,,16352,1107840,,12329,1136521,23366167,12180,13.3,4867,613,185,141,44,91,71,20,25380,11698,4398,10,,,,,3,13
2022-03-20,,,,16509,1109360,,12332,1138201,23377134,10967,12,4306,551,182,139,43,97,76,21,25409,11709,4398,10,,,,,0,3
2022-03-21,,,,16405,1110677,,12336,1139418,23385778,8644,13.4,3430,551,181,138,43,94,73,21,25420,11716,4400,10,,,,,1,3
2022-03-22,,,,16283,1112239,,12343,1140865,23396211,10433,12.2,6386,639,179,137,42,93,69,24,25443,11719,4399,10,,,,,0,7
2022-03-23,,,,16270,1114388,,12356,1143014,23414478,18267,13.3,5724,611,174,131,43,90,69,21,25477,11728,4400,10,,,,,-1,14
2022-03-24,,,,16831,1116378,,12366,1145575,23429993,15515,13.4,6404,661,165,126,39,90,71,19,25511,11735,4403,10,,,,,3,7
2022-03-25,,,,17752,1118196,,12388,1148336,23447647,17654,12.6,5974,667,161,123,38,89,70,19,25566,11770,4403,10,,,,,7,15
2022-03-26,,,,18576,1120117,,12397,1151090,23464988,17341,13.5,5804,707,157,116,41,92,72,20,25641,11801,4405,10,,,,,4,5
2022-03-27,,,,19149,1121755,,12401,1153305,23481054,16066,12.2,4031,553,157,119,38,93,72,21,25660,11805,4406,10,,,,,1,3
2022-03-28,,,,19436,1123205,,12405,1155046,23487297,6243,17.9,3568,655,158,124,34,92,74,18,25694,11805,4407,10,,,,,1,3
2022-03-29,,,,19354,1124888,,12414,1156656,23499599,12302,14.4,6818,790,165,131,34,84,66,18,25758,11815,4409,10,,,,,2,7
2022-03-30,,,,19736,1127307,,12427,1159470,23516908,17309,15.1,6724,778,165,132,33,94,73,21,25786,11836,4414,10,,,,,1,12
2022-03-31,,,,20748,1129428,,12433,1162609,23535226,18318,16,6284,807,166,130,36,93,73,20,25854,11861,4415,10,,,,,1,5
2022-04-01,,,,22076,1131601,,12451,1166128,23552694,17468,16.4,5848,804,167,129,38,97,76,21,25934,11888,4417,10,,,,,9,9
2022-04-02,,,,23387,1133514,,12460,1169361,23568695,16001,17.1,5979,855,165,129,36,99,76,23,26019,11901,4419,10,,,,,2,7
2022-04-03,,,,24603,1135365,,12470,1172438,23582790,14095,16.7,4692,763,166,128,38,91,70,21,26062,11915,4420,10,,,,,2,8
2022-04-04,,,,25154,1137062,,12470,1174686,23593985,11195,19,3151,857,168,132,36,92,71,21,26086,11922,4420,10,,,,,0,0
2022-04-05,,,,25019,1139179,,12479,1176677,23608459,14474,18,8643,1091,173,136,37,96,79,17,26126,11933,4421,10,,,,,3,6
2022-04-06,,,,25559,1142051,,12511,1180121,23630012,21553,18,7381,1074,168,132,36,83,68,15,26220,11962,4422,10,,,,,22,10
2022-04-07,,,,26929,1144889,,12527,1184345,23651359,21347,17.2,7777,1126,159,128,31,80,67,13,26282,11977,4425,10,,,,,0,16
2022-04-08,,,,28570,1147533,,12537,1188640,23668924,17565,19,7521,1135,166,134,32,86,72,14,26362,11993,4427,10,,,,,4,6
2022-04-09,,,,30056,1149833,,12548,1192437,23687602,18678,18.4,7497,1188,168,140,28,87,76,11,26470,12014,4429,10,,,,,1,10
2022-04-10,,,,31180,1152175,,12563,1195918,23704418,16816,17.6,5376,977,173,145,28,88,76,12,26521,12033,4430,10,,,,,4,11
2022-04-11,,,,31703,1154050,,12566,1198319,23716567,12149,17.6,4044,1090,184,153,31,82,71,11,26578,12043,4430,10,,,,,0,3
2022-04-12,,,,31717,1156332,,12570,1200619,23730750,14183,18.7,9407,1366,190,157,33,82,68,14,26664,12062,4430,10,,,,,-1,5
2022-04-13,,,,32198,1159671,,12583,1204452,23754368,23618,17.5,8712,1332,182,150,32,85,70,15,26776,12088,4431,10,,,,,1,12
2022-04-14,,,,33432,1163003,,12606,1209041,23777414,23046,18.1,8590,1392,177,144,33,81,67,14,26894,12107,4433,10,,,,,3,20
2022-04-15,,,,34622,1166132,,12619,1213373,23797952,20538,18.8,7699,1427,182,146,36,76,63,13,27013,12132,4435,10,,,,,3,10
2022-04-16,,,,36016,1168929,,12629,1217574,23817234,19282,18.5,4079,1130,185,153,32,80,68,12,27108,12147,4438,10,,,,,0,10
2022-04-17,,,,35665,1171729,,12630,1220024,23827685,10451,19.5,4432,1290,197,166,31,83,69,14,27170,12160,4438,10,,,,,1,0
2022-04-18,,,,35500,1174111,,12632,1222243,23837745,10060,18.7,3784,1301,202,173,29,91,78,13,27225,12175,4438,10,,,,,0,2
2022-04-19,,,,33953,1176875,,12633,1223461,23853067,15322,17.9,7254,1486,206,175,31,87,73,14,27257,12186,4438,10,,,,,0,1
2022-04-20,,,,31080,1180793,,12661,1224534,23875055,21988,16.8,7714,1662,203,174,29,92,74,18,27335,12205,4443,10,,,,,0,28
2022-04-21,,,,32082,1184812,,12678,1229572,23895895,20840,18.3,7803,1626,207,175,32,90,71,19,27565,12244,4448,10,,,,,-2,19
2022-04-22,,,,33098,1188438,,12704,1234240,23916723,20828,16.1,8340,1591,214,180,34,86,70,16,27748,12292,4450,10,,,,,-1,27
2022-04-23,,,,33620,1191712,,12728,1238060,23936727,20004,17.3,8035,1684,212,180,32,81,67,14,27935,12330,4454,10,,,,,-1,23
2022-04-24,,,,34520,1194904,,12734,1242158,23952866,16139,15.5,5504,1362,212,180,32,92,77,15,28066,12353,4454,10,,,,,3,3
2022-04-25,,,,33905,1197545,,12736,1244186,23966113,13247,15.3,4688,1455,219,187,32,97,83,14,28150,12363,4455,10,,,,,0,2
2022-04-26,,,,32747,1200516,,12750,1246013,23979564,13451,13.2,9224,1730,219,188,31,99,84,15,28239,12380,4457,10,,,,,1,13
2022-04-27,,,,31675,1204571,,12772,1249018,24002794,23230,15.2,7914,1734,211,179,32,92,75,17,28427,12425,4462,10,,,,,0,22
2022-04-28,,,,31464,1208322,,12792,1252578,24021669,18875,14.5,7592,1661,202,172,30,98,77,21,28620,12460,4465,10,,,,,-1,21
2022-04-29,,,,30742,1211784,,12812,1255338,24040904,19235,13.2,7135,1679,209,176,33,94,74,20,28727,12491,4467,10,,,,,1,19
2022-04-30,,,,30370,1214942,,12825,1258137,24057745,16841,13.8,7106,1676,188,157,31,89,67,22,28884,12521,4470,10,,,,,0,13
2022-05-01,,,,30190,1217348,,12842,1260380,24071237,13492,14.7,4929,1410,187,153,34,89,71,18,28986,12553,4473,10,,,,,0,17
2022-05-02,,,,29173,1219640,,12842,1261655,24083086,11849,14,4374,1423,211,177,34,90,72,18,29069,12558,4472,10,,,,,0,0
2022-05-03,,,,28046,1222298,,12858,1263202,24094841,11755,13.2,7691,1699,202,173,29,84,68,16,29125,12574,4474,10,,,,,1,15
2022-05-04,,,,27046,1225755,,12889,1265690,24113161,18320,14.3,7635,1698,199,169,30,94,78,16,29318,12615,4480,10,,,,,2,29
2022-05-05,,,,26073,1229396,,12921,1268390,24131088,17927,13,6698,1676,205,176,29,100,84,16,29528,12674,4490,10,,,,,0,32
2022-05-06,,,,25388,1232482,,12938,1270808,24148832,17744,13.8,5743,1662,210,180,30,99,81,18,29633,12749,4493,10,,,,,0,17
2022-05-07,,,,24708,1235302,,12962,1272972,24163353,14521,13.1,6116,1563,204,173,31,92,74,18,29739,12779,4496,10,,,,,0,24
2022-05-08,,,,24133,1237805,,12972,1274910,24176180,12827,12.2,3411,1167,207,173,34,90,73,17,29853,12801,4498,10,,,,,1,9
2022-05-09,,,,23363,1239781,,12972,1276116,24183882,7702,12,2966,1213,201,166,35,87,68,19,29900,12807,4498,10,,,,,0,0
2022-05-10,,,,22285,1241929,,12991,1277205,24195458,11576,12.4,7061,1555,188,153,35,78,63,15,29981,12824,4502,10,,,,,0,19
2022-05-11,,,,21211,1244969,,13020,1279200,24215923,20465,11.3,5584,1528,176,140,36,81,63,18,30084,12849,4506,10,,,,,0,29
2022-05-12,,,,20755,1247571,,13034,1281360,24232283,16360,10.7,6410,1451,175,136,39,75,57,18,30190,12884,4511,10,,,,,0,14
2022-05-13,,,,20457,1249820,,13052,1283329,24248303,16020,12,5856,1453,168,135,33,71,56,15,30301,12924,4514,10,,,,,0,18
2022-05-14,,,,19948,1251893,,13063,1284904,24263405,15102,10.7,6306,1392,156,123,33,70,53,17,30418,12959,4515,10,,,,,0,11
2022-05-15,,,,19553,1253845,,13070,1286468,24275655,12250,11.2,3313,1024,151,119,32,70,53,17,30536,12972,4516,10,,,,,0,7
2022-05-16,,,,19218,1255239,,13072,1287529,24283787,8132,12.5,3805,1122,159,129,30,75,58,17,30616,12979,4516,10,,,,,0,2
2022-05-17,,,,18270,1257204,,13083,1288557,24296020,12233,10.3,5717,1345,165,132,33,77,61,16,30710,12998,4517,10,,,,,0,11
2022-05-18,,,,17572,1259578,,13099,1290249,24311619,15599,10.5,5321,1248,163,127,36,76,58,18,30836,13014,4528,10,,,,,2,14
2022-05-19,,,,16910,1261782,,13122,1291814,24327081,15462,9.6,5724,1207,168,130,38,71,58,13,30964,13044,4531,11,,,,,3,20
2022-05-20,,,,16411,1263669,,13146,1293226,24341494,14413,9.1,5149,1165,163,130,33,81,67,14,31096,13057,4539,11,,,,,8,16
2022-05-21,,,,15873,1265415,,13159,1294447,24353571,12077,8.9,5004,1116,160,130,30,80,67,13,31149,13072,4539,11,,,,,1,12
2022-05-22,,,,15439,1266899,,13161,1295499,24363348,9777,9,2960,809,152,126,26,72,61,11,31223,13098,4540,11,,,,,0,2
2022-05-23,,,,14967,1268037,,13163,1296167,24368847,6053,10.5,3149,879,152,124,28,70,58,12,31255,13101,4540,11,,,,,0,2
2022-05-24,,,,14347,1269275,,13164,1296786,24375381,6534,9.1,3290,890,157,125,32,65,53,12,31276,13107,4540,11,,,,,0,1
2022-05-25,,,,13049,1271337,,13175,1297561,24387044,11109,8.4,5282,1082,160,127,33,72,58,14,31324,13119,4542,11,,,,,1,10
2022-05-26,,,,12498,1273085,,13195,1298778,24400586,13542,8.4,5976,1005,154,123,31,69,55,14,31416,13156,4545,11,,,,,0,20
2022-05-27,,,,12003,1274661,,13210,1299874,24413902,13316,8.4,4846,948,154,122,32,68,55,13,31525,13169,4553,11,,,,,1,14
2022-05-28,,,,11585,1276210,,13223,1301018,24425199,11297,8.5,4156,865,144,114,30,69,55,14,31600,13191,4556,11,,,,,1,12
2022-05-29,,,,11137,1277534,,13225,1301896,24433412,8213,8.6,2702,643,145,113,32,67,52,15,31656,13198,4557,11,,,,,0,2
2022-05-30,,,,10753,1278464,,13226,1302443,24439780,6368,7.6,2418,611,147,116,31,67,52,15,31692,13199,4557,11,,,,,0,1
2022-05-31,,,,10204,1279588,,13241,1303033,24449315,9535,8.3,4640,808,140,111,29,62,48,14,31745,13211,4560,11,,,,,1,14
2022-06-01,,,,9732,1281066,,13265,1304063,24462412,13097,8.3,4114,722,127,95,32,64,47,17,31804,13234,4563,11,,,,,1,23
2022-06-02,,,,9538,1282296,,13267,1305101,24473195,10783,7.2,4511,670,119,92,27,60,44,16,31899,13248,4564,11,,,,,0,2
2022-06-03,,,,9297,1283417,,13275,1305989,24483292,10097,7.3,3943,669,117,91,26,55,39,16,31969,13265,4569,11,,,,,0,8
2022-06-04,,,,9221,1284384,,13285,1306890,24493121,9829,7.9,3387,671,107,81,26,53,34,19,32014,13264,4571,11,,,,,0,10
2022-06-05,,,,9086,1285226,,13288,1307600,24500119,6998,7.1,2657,419,111,79,32,50,31,19,32054,13275,4571,11,,,,,0,3
2022-06-06,,,,8884,1285895,,13289,1308068,24506408,6289,7,2097,430,116,84,32,56,36,20,32083,13277,4571,11,,,,,1,0
2022-06-07,,,,8648,1286664,,13293,1308605,24514699,8291,7.2,4029,526,114,78,36,55,36,19,32109,13283,4573,11,,,,,0,4
2022-06-08,,,,8782,1287532,,13304,1309618,24525933,11234,6.4,4199,522,114,78,36,54,36,18,32139,13291,4575,11,,,,,4,7
2022-06-09,,,,8696,1288515,,13314,1310525,24535710,9777,6.6,3090,549,118,81,37,44,27,17,32172,13303,4576,11,,,,,3,7
2022-06-10,,,,8522,1289514,,13324,1311360,24544902,9192,7.3,3554,536,110,73,37,52,30,22,32219,13312,4578,11,,,,,0,10
2022-06-11,,,,8443,1290406,,13336,1312185,24555952,11050,7.1,3782,528,110,75,35,51,30,21,32270,13329,4580,11,,,,,1,11
2022-06-12,,,,8405,1291101,,13338,1312844,24562836,6884,6.5,2337,370,112,76,36,42,25,17,32306,13341,4582,11,,,,,0,2
2022-06-13,,,,8177,1291686,,13338,1313201,24568746,5910,6.4,2383,383,111,74,37,49,31,18,32313,13342,4582,11,,,,,0,0
2022-06-14,,,,7901,1292417,,13343,1313661,24577131,8385,6.9,3704,512,116,80,36,51,32,19,32348,13349,4585,11,,,,,0,5
2022-06-15,,,,7720,1293376,,13351,1314447,24587516,10385,6.9,3943,506,115,74,41,49,32,17,32444,13407,4587,11,,,,,2,6
2022-06-16,,,,8177,1293690,,13357,1315224,24599826,12310,6.9,3551,491,109,71,38,45,28,17,32520,13428,4589,11,,,,,,6
